id,name,level,target,equipment,directions,type,image_path
41,Concentration Curls,Easy,Biceps,['Dumbbell'],"['Sit on a flat bench, legs spread, with a dumbbell beside your foot.', 'Lean forward, keeping your back straight. Press your elbow against the inside of your thigh and lift the dumbbell with an underhand grip.', 'Bend your arm at the elbow, bringing the dumbbell toward your upper body in a controlled manner. Use the full range of motion, fully bending your elbow. Keep your upper body still throughout.', 'Slowly lower the weight by extending your elbow. Don’t hyperextend your elbow; keep it slightly bent at the end.']",Free weights,concentration_curls.jpg
42,Crunches,Easy,Abs,['Exercise without equipment'],"['Lie flat on your back on an exercise mat.', 'Bend your knees and bring your feet closer to your butt, keeping them on the floor.', 'Your knees should be bent about 90 degrees, with your heels a good distance from your butt.', 'Keep your legs close together, no more than hip-width apart.', 'Place your hands on the sides of the back of your head, elbows pointing outwards. This is the basic crunch position.', 'Keep your head straight and gaze upwards.', 'Lift your upper body towards your knees, bending your torso slightly as you exhale.', 'Inhale as you lower your upper body back down.', 'Maintain body tension when lowering, controlling the descent instead of just dropping.', 'To maintain tension, don’t lie flat on your back at the end of the movement. Keep your shoulders and head in the air, with shoulder blades not touching the floor until the exercise is done.']",Body weight,crunches.jpg
43,Deadlift,Hard,Lower,['Barbell'],"['Place the barbell on the floor and stand shoulder-width apart in front of it. Center the bar over your midfoot.', 'Bend your knees and hips to grab the barbell with an overhand grip, hands shoulder-width apart. Ensure your shoulders are directly above the bar and your hips are level between your head and knees.', 'Form a slight arch in your lower back and keep the rest of your back straight. Keep your head aligned with your spine and hips. Your back should never arch. Engage your core. You’re now in the starting position.', 'Lift the weight off the floor with extended arms. Extend your legs and straighten your upper body simultaneously. Lift the barbell in a straight line by keeping it as close to your shins and thighs as possible (without bumping).', 'Finish the movement by pushing your hips slightly forward, standing upright, and holding the bar in front of your hips. Avoid hyperextending your back. Hold this position for a few seconds.', 'Lower the bar in a controlled manner by bending your legs and leaning your torso forward, returning to the starting position. Maintain body tension when performing additional repetitions.']",Free weights,deadlift.jpg
44,Decline Bench Press,Medium,Lower,"['Barbell', 'Decline bench']","['Lie on the decline bench with the barbell level with your upper chest in the holder.', 'Secure your legs in the designated padding.', 'Pull your shoulder blades back.', 'Extend your arms, grip the barbell shoulder-width apart (or slightly wider).', 'Always use a closed grip with your thumb around the bar, not a “monkey grip” (open grip).', 'Lift the barbell out of the holder.', 'Lower the bar evenly and under control above your chest, keeping your elbows from flaring too far outwards.', 'Keep your shoulder blades drawn in and inhale as you lower the bar.', 'Due to the bench angle, the barbell will land lower than usual, around your nipples or lower chest, depending on your anatomy.', 'Perform the upward movement cleanly and quickly, exhaling as you do so.', 'At the top, maintain body tension, don’t fully extend your arms, and repeat the process.']",Free weights,decline_bench_press.jpg
45,Decline Dumbbell Bench Press,Medium,Lower,"['Dumbbell', 'Decline bench']","['Set the backrest to a negative angle (about -15 degrees). Grab the dumbbells, sit on the bench, and secure your legs in the supports to prevent sliding backward while lying down.', 'Lie on your back and position the dumbbells over your chest (refer to the video).', 'Press the dumbbells vertically over your chest, side by side, with your arms extended. Your palms should face your head.', 'Pull your shoulder blades back.', 'Slowly lower the dumbbells by bending your elbows and pulling your shoulders back. Keep your elbows close to your body without flaring them out too far. Maintain contracted shoulder blades throughout.', 'Stop lowering when you feel a stretch in your chest muscles or when your upper arms are about parallel to the floor.', 'Press the dumbbells back up to the starting position by straightening your shoulders and elbows, moving your arms in front of your chest, and extending your arms vertically again.']",Free weights,decline_dumbbell_bench_press.jpg
46,Decline Flys,Medium,Lower,"['Decline bench', 'Dumbbell']","['Hold a dumbbell in each hand and sit on the decline bench. Secure your legs under the pads. Hold the dumbbells near your belly.', 'Lean back, taking the dumbbells to your chest without swinging. Lie flat on the bench’s back pad.', 'While lying safely on the decline bench (head, shoulders/shoulder blades, and butt touching the bench), lift the dumbbells straight up in front of your torso.', 'Pull your shoulder blades back.', 'Bend your elbows about 10 degrees. Slowly lower the dumbbells by spreading your arms, stretching your chest in the final position. Don’t lower the dumbbells too far (see below).', 'Raise the dumbbells by rotating your arms up. Keep your elbows bent at the same angle throughout the entire movement, and your shoulder blades tight and pulled back.', 'After finishing your set, lower the dumbbells toward your chest and stand up if needed with a bit of momentum. Don’t just drop the dumbbells from the spread-arm position at the end of the exercise.']",Free weights,decline_flys.jpg
47,Decline Push-Ups,Easy,Chest,['Exercise without equipment'],"['Kneel on the ground and lean forward, supporting yourself with your arms (shoulder-width apart).', 'Extend both legs and place your toes securely on the elevated object (flat bench, chair, sofa, etc.).', 'Extend both arms and position your hands roughly below your shoulders. Keep your hands no more than shoulder-width apart.', 'Tighten your core, so your head, upper body, and legs form almost a straight line. Don’t stick your butt out too far or let your hips sag. You’re now in the starting position.', 'Slowly and controlled, lower your upper body by bending your arms. End the movement when your elbows are completely bent or your chest is about to touch the ground.', 'Hold the position for a moment and straighten your arms (almost) completely. Keep your body tense in the manner described above throughout the entire movement.']",Body weight,decline_push-ups.jpg
48,Decline Sit-Ups,Easy,Abs,['Decline bench'],"['Start by sitting on the decline bench, which should be adjusted to around 30-45 degrees.', 'Clamp your legs into the designated holders behind the cushions.', 'Place your hands loosely in front of your chest, then lean back so your back and head touch the rest of the bench. Your back should be straight with a slight arch. You’re now in the starting position.', 'Lift your upper body towards your knees, bending your back slightly to get a stronger abdominal contraction. Hold the top position for a moment, then lower your body back to the starting position slowly and controlled.']",Body weight,decline_sit-ups.jpg
49,Dips,Hard,Chest,['Dip bars'],"['Stand between the dip bars. Many bars aren’t parallel but angled. Stand between the bars until the distance to your hips is reduced to the mentioned point (see above). You can adjust freestanding dip bars accordingly.', 'Grab the bars with your hands, pull your shoulder blades back and push your chest out.', 'Lift your body off the ground by extending your triceps.', 'Bend your legs at the knees.', 'Tilt your upper body forward slightly.', 'Lower your torso evenly downward by bending your arms. Stop the downward movement when your elbows are bent to 90 degrees. Don’t lower your body any further, as this strains muscles and joints alike without providing greater training stimulus. Also, ensure your elbows aren’t spread too far apart.', 'Push your body back up through your chest and by extending your arms. Keep your arms slightly bent at the end of the movement to avoid stressing your elbow joints.']",Body weight,dips.jpg
50,Donkey Calf Raise,Easy,Calves,['Machine'],"['Stand with both feet on the base plate or bar and position your tailbone under the pad.', 'Simultaneously, lean your upper body forward, rest your forearms on the provided pad, and grab the handles (if available). Ensure you don’t form a rounded back.', 'Slightly bend your knees, don’t fully extend them.', 'Lift the weight by raising your heels. As you do so, your hips will rise. Your upper body remains in the same position as before.', 'Lower the weight again in a controlled manner.']",Machine,donkey_calf_raise.jpg
51,Dumbbell Bench Press,Medium,Chest,"['Bench', 'Dumbbell']","['Grab the dumbbells and sit on the flat bench. Place the dumbbells just above your knees on your thighs.', 'Lie on your back on the bench and simultaneously push the dumbbells up with your knees to bring them directly over your chest (see video above).', 'Keep your feet firmly on the ground and press the dumbbells up side by side with your arms extended above your chest. The backs of your hands should face your head.', 'Pull your shoulder blades back.', 'Form a slight arch in your back, creating the so-called bridge. This helps you manage the pushing movement coming from the chest optimally. You’re now in the starting position.', 'Slowly lower the dumbbells by bending your elbows and pulling your shoulders back. Your elbows shouldn’t be spread too far outwards, but should be directed inward, towards your body. Keep your shoulder blades contracted the entire time.', 'Stop the downward movement when your chest is stretched or your upper arms are about parallel to the floor.', 'Push the dumbbells back up through your chest to the starting position by straightening your shoulders and elbows and moving your arms in front of your chest.']",Free weights,dumbbell_bench_press.jpg
52,Dumbbell Deadlift,Hard,Lower,['Dumbbell'],"['Bend your knees and hips, and grab the dumbbells firmly in an overhand grip with both hands. When you lift the dumbbells (see further steps), they’ll be next to your body.', 'Create a slight arch in your lower back while keeping your overall back straight. Your head should also be in line with your hips. Your back must not round at any time. Engage your core. You’re now in the starting position.', 'Lift the weight off the floor with your arms extended, simultaneously straightening your legs and upper body. Try to lift the dumbbells in a straight line.', 'Finish the movement when you’ve lifted the dumbbells to hip level and pushed your hips forward slightly. Don’t hyperextend your back. Hold this position for a few seconds.', 'Lower the dumbbells in a controlled manner by bending your legs, leaning your upper body forward, and returning to the starting position.']",Free weights,dumbbell_deadlift.jpg
53,Dumbbell Floor Flys,Easy,Chest,['Dumbbell'],"['Place the dumbbells on the floor with enough space for you to sit between them. Sit on the floor between the dumbbells, with your legs bent.', 'Grab the dumbbells and bring them towards your thighs. Now, lean back and move the dumbbells over your chest simultaneously.', 'Push the dumbbells up vertically above your torso.', 'Turn your palms inward.', 'Bend your elbows slightly.', 'Open your arms and lower the dumbbells towards the floor. Stop when your elbows touch the floor.', 'Bring the dumbbells back together above your body by rotating your shoulders. Keep your elbows bent at the same angle throughout the downward and upward movement.']",Free weights,dumbbell_floor_flys.jpg
54,Dumbbell Lunges,Easy,Thigh,['Dumbbell'],"['Stand upright, about hip-width, with the dumbbells at your sides in your hands.', 'Take a big step forward with the leg you want to train first.', 'After performing the step, lower your torso straight down. Your front leg (training leg) carries your weight, while the other leg stabilizes your body. Stand firmly on your front foot and on your back foot’s toes, with the heel in the air.', 'During the downward motion, make sure your front knee doesn’t push in front of your toes. If this happens, your step is too small or your torso is bent too far forward. The angle between your upper and lower leg of the training leg should be about 90 degrees.', 'The knee of your stabilizing leg should only lightly touch the ground, if at all, during the downward movement. Don’t release tension in your training leg by kneeling down with the other leg.', 'At the end of the downward movement, push your upper body up with your training leg.', 'You can now do the second repetition directly with your second leg, or first complete all reps with one leg and then the other leg.']",Free weights,dumbbell_lunges.jpg
55,Dumbbell Romanian Deadlift,Hard,Lower,['Dumbbell'],"['Grab the dumbbells in both hands and stand with your feet shoulder-width apart with a straight back and relaxed legs.', 'Form a very slight hollow back and hold the dumbbells diagonally next to your hips or thighs. You are now in the starting position.', 'Bend your upper body forward, keeping your back straight, your head upright, and your legs straight. Guide the dumbbells down along your legs.', 'End the downward movement before (!) you have to curve your back to bend further or when you feel a strong pull in your posterior thighs.', 'Then lift your upper body back up in a controlled manner to the starting position.']",Free weights,dumbbell_romanian_deadlift.jpg
56,Dumbbell Seated Overhead Tricep Extension,Medium,Triceps,"['Dumbbell', 'Incline bench']","['Grab your dumbbell and lift it to your shoulder. Place it on your shoulder and secure it with one hand while holding the grip with the other.', 'Sit up straight on the weight bench with a slight arch in your back. Keep your feet firmly on the ground and maintain a stable body.', 'To grip the dumbbell correctly, ensure the weight plates are facing up and down. Move one hand to the grip under the upper plates and the other hand under the upper plates as well. This way, you’ll be holding the weight plates instead of the handle.', 'Lift the dumbbell behind your head with this grip. Your elbows should be pointing forward. Lower the weight slightly behind your head, but don’t bend your elbows too much. Be careful not to hit yourself on the back of your head or neck! You’re now in the starting position.', 'Extend your arms by your elbows and lift the weight over your head. Don’t fully extend your elbows; keep them slightly bent at the end. Hold this position for a moment, then lower the weight back down to the starting position.']",Free weights,dumbbell_seated_overhead_tricep_extension.jpg
57,Dumbbell Shoulder Press,Easy,Shoulder,['Dumbbell'],"['Set the back of the incline bench to the steepest setting, place the dumbbells in front of the bench, and take a seat.', 'Grab the dumbbells, place them on your knees (see video above), and hold them tight.', 'Lean all the way back, so your shoulder blades press against the backrest.', 'Push your butt all the way back, so your lower back and butt touch the backrest and form a slight hollow back.', 'Use your knees to lift the dumbbells one at a time and bring them next to your head. The backs of your hands should point backwards. Your elbows should be bent at about a right angle and point slightly forward. This is the starting position.', 'Now press the dumbbells straight up, above your head. Keep your grip the same (backs of the hands pointing backwards). The dumbbells may touch a little, but don’t let them slam against each other. Don’t fully extend your elbows; maintain a slight bend to avoid overloading your joints and losing muscle tension.', 'Slowly lower the dumbbells back down to the starting position in a controlled manner.']",Free weights,dumbbell_shoulder_press.jpg
58,Dumbbell Skullcrusher,Medium,Triceps,['Dumbbell'],"['Grab a pair of dumbbells and sit on a flat bench, facing its length.', 'Lie down on your back and hold the dumbbells in front of your chest.', 'With your palms facing each other, lift the dumbbells straight up, keeping your elbows slightly bent and your shoulders width apart. This is your starting position.', 'Slowly lower the dumbbells to the side of your head, bending your elbows. After a brief pause, control the movement and raise the weights back to the starting position without swinging.']",Free weights,dumbbell_skullcrusher.jpg
59,Dumbbell Squats,Medium,Thigh,['Dumbbell'],"['Grab the dumbbells and stand with your feet shoulder-width apart. Hold the dumbbells at your sides, in line with your ankles/feet.', 'Bend your knees and lower your butt, pushing it back and leaning your upper body slightly forward.', 'Keep the dumbbells in a straight line as you lower them, aligned with your ankles throughout the movement.', 'Stop lowering yourself when your thighs are parallel to the floor.', 'Stand back up by straightening your knees and raising your torso.']",Free weights,dumbbell_squats.jpg
60,Dumbbell Tricep Extension,Easy,Triceps,['Dumbbell'],"['Sit on a weight bench with a dumbbell in your hand.', 'Keep your back straight with a slight arch.', 'Lift the dumbbell up with a firm grip. Extend your arm and keep your palm facing inward.', 'Turn your elbow slightly outward and bend it, so the dumbbell moves behind your head. You’re now in the starting position.', 'Extend your arm at the elbow, but don’t turn your elbow anymore. Keep a slight bend and don’t overstretch. Hold for a moment, then move the dumbbell back to the starting position. Repeat on the other arm when you’re done with the first side.']",Free weights,dumbbell_tricep_extension.jpg
61,Dumbbell Upright-Row,Easy,Neck,['Dumbbell'],"['Stand hip-width apart. Hold the dumbbells in your hands in front of your hips (not on the side) in an overhand grip (back of the hand outwards).', 'Keep your back straight, your head neutrally forward, and stick out your chest.', 'Now, bring the dumbbells up close to your body in a controlled manner.', 'Pull your hands up in a controlled and steady manner, without swinging, until the dumbbells almost touch your chin. Your elbows should be higher than your wrists at all times.', 'At the end of the movement, bring your hands back down in a controlled manner and start a new repetition.']",Free weights,dumbbell_upright-row.jpg
62,Finger Curls,Easy,Forearm,['Dumbbell'],"['Hold the dumbbell in your hand and sit wide-legged on a flat bench.', 'Place the elbow of your training hand on the same side thigh (close to the knee), so the dumbbell is between your legs.', 'While keeping a firm grip on the dumbbell, let your wrist be loose and angle your hand downward.', 'Now, open your hand by moving your fingers away from the palm of your hand. Keep your fingers flexed at all times, so the dumbbell moves from the palm to your fingers.', 'Lower the dumbbell as far as you can, and make sure you don’t drop it on the floor.', 'Close your hand with the dumbbell, bringing it back towards the palm of your hand.']",Free weights,finger_curls.jpg
63,Flys,Medium,Middle,"['Bench', 'Dumbbell']","['Hold a dumbbell in each hand and sit on a flat bench. Start by placing the dumbbells on your thighs, near your knees. If the dumbbells are too heavy to lift, alternate lifting your knees with momentum to help lift the dumbbells with your arms.', 'Lie back on the flat bench, bringing the dumbbells close to your chest. Once you’re comfortably lying on the bench (head, shoulder blades/shoulders, and butt on the bench), lift the dumbbells straight up in front of your torso.', 'Retract your shoulder blades.', 'Slightly angle your elbows (about 10 degrees) and slowly lower the dumbbells outward, spreading your arms. In this final position, your chest should be stretched. Be careful not to lower the dumbbells too far (see below).', 'Raise the dumbbells again by rotating your arms upward. Keep your elbows bent and your shoulder blades tense and retracted throughout the movement.', 'After completing your set, lower the dumbbells towards your chest, and then sit up with a bit of momentum if necessary. Don’t just drop the dumbbells on the floor while your arms are spread out.']",Free weights,flys.jpg
64,Front Raise,Easy,Shoulder,['Dumbbell'],"['Grab the dumbbells and stand upright with your feet shoulder-width apart. Hold the dumbbells at your sides.', 'Now, raise one or both arms forward, turning your palms down. Lift your arm until it’s parallel to the floor, with the dumbbells at about shoulder height.', 'Slowly lower the dumbbells in a controlled manner, returning your hands to the starting position (palms facing each other).', 'Bonus: For an isometric challenge in your last rep, hold the dumbbells in the raised position as long as possible and lower your arms very, very slowly (60-120 seconds).']",Free weights,front_raise.jpg
65,Front Squats,Hard,Thigh,['Barbell'],"['With the barbell in the rack and safeties set, stand so your shoulders touch the bar.', 'Move forward so the bar rests firmly on your shoulders, slightly touching your neck.', 'Extend your arms, bend your elbows, and grip the bar with an underhand grip (palms up). Depending on your anatomy, you may secure the bar with just a few fingers (see video). Keep your elbows pointing forward.', 'Lift the bar out of the rack and stand with your feet shoulder-width apart.', 'Maintain a straight upper body while slightly hollowing the lower back and stabilizing the middle and upper back.', 'Slowly lower the weight by bending your knees in a controlled manner. Focus on maintaining balance. Keep your elbows pointing forward, and your back straight without arching. Lower your body until your thighs are parallel to the floor.', 'Push the weight back up by standing up. Your heels should always touch the floor, with the weight evenly distributed across your entire foot.']",Free weights,front_squats.jpg
66,Good Mornings,Hard,Lower,['Barbell'],"['Position yourself under the barbell in the rack so it touches the middle of your neck. Firmly grip the bar with both hands.', 'Lift the barbell out of the rack by standing fully upright and step away from the rack.', 'Form a slight hollow back while keeping the rest of your back straight.', 'Bend your upper body forward from your hips, maintaining a straight back without arching.', 'Slightly bend your knees. Only bend them far enough to ensure your thighs don’t become parallel to the floor.', 'Lower your upper body until it’s parallel to the floor, stopping before you lose your balance.', 'Straighten your upper body and knees, leaving a slight bend in the knees at the end of the movement.']",Free weights,good_mornings.jpg
67,Hack Squat,Easy,Thigh,['Machine'],"['Load the appropriate weight for your workout.', 'Step into the hack press machine and place your shoulders under the pads.', 'Press your back against the backrest and position your feet about shoulder-width apart on the footrest.', 'Hold the handles, usually located next to your head, without pushing on them.', 'Tighten your body and get ready to lift the weight. Move the handles towards your head to release the lock and weight.', 'Straighten your legs, but keep your knees slightly bent. You’re now in the starting position.', 'Bend your knees and slowly lower the weight in a controlled manner. The end of the movement is reached when your lower and upper legs are just below a 90-degree angle.', 'Push the weight back up by extending your legs. As before, keep your knees slightly bent at the end of the movement so your muscles support the weight, not your knee joints. Keep your back pressed against the backrest throughout the entire movement.']",Machine,hack_squat.jpg
68,Hammer Curls,Easy,Biceps,['Dumbbell'],"['Grab the dumbbells and stand with your feet hip-width apart. Hold the dumbbells at your sides with a neutral grip (palms facing each other).', 'Bend your elbows and raise both dumbbells at the same time. Keep your palms facing each other throughout the movement, without rotating them.', 'When your elbows are bent, you’ve reached the end of the movement. Hold the tension for a moment.', 'Lower the dumbbells slowly and with control, keeping your palms in the same position. At the end, your arms are fully extended, and the dumbbells are beside your body.']",Free weights,hammer_curls.jpg
69,Hammer Grip Pull-Ups,Easy,Upper,['Pull-up bar'],"['Stand under the pull-up bar and grab the handles for the hammer grip (palms facing each other).', 'Slightly bend your legs and let yourself hang from the bar.', 'Bring your shoulder blades together.', 'Pull your body up using your arms and back muscles until your chin is level with your hands. Keep your elbows parallel to each other, not flared outwards.', 'Slowly lower your body back down to the hanging starting position in a controlled manner.']",Body weight,hammer_grip_pull-ups.jpg
70,Hammer Grip Wrist Curls,Easy,Forearm,['Dumbbell'],"['Grab the dumbbells in your hands and kneel in front of the flat bench.', 'Lean your upper body forward and rest your forearms on the flat bench. The dumbbells should extend beyond the flat bench and remain movable through your wrists. Keep your back straight.', 'Hold the dumbbells in a neutral grip, i.e., grip them firmly, with the palms of your hands facing each other (back of your hands facing out).', 'Control the motion, lower your wrists and maintain tension. Don’t rest the weight on your wrists.', 'Curl your wrists upward and move the dumbbells up. Hold the position briefly, then lower the dumbbells.']",Free weights,hammer_grip_wrist_curls.jpg
71,Hanging Knee Raise,Hard,Abs,['Pull-up bar'],"['If you’re using them, securely attach the arm straps to the pull-up bar.', 'Without arm straps: Grab the pull-up bar with your hands and let your body hang. With arm straps: Put your arms in the straps, reach your hands towards the strap attachment, and let your body hang.', 'Engage your abs and keep your back straight.', 'Lift your knees by bending your hips and knees simultaneously.', 'Raise your knees as high as possible. You can do this by bending your hips more at the end of the movement and slightly crunching your stomach.', 'Slowly lower your knees back down, extending your hips at the same time.']",Body weight,hanging_knee_raise.jpg
72,Hanging Leg Curl,Hard,Rear,['Machine'],"['Adjust the foot locks’ distance based on your height. Your knees should rest securely on the pad while allowing you to extend your legs without stressing your knee joints. Use the handles found on most machines to test the movement carefully without bearing your full weight.', 'Once everything is set up, wedge your feet between the pads and kneel on the knee pad.', 'Keep your upper body upright and avoid rounding your back.', 'Place your hands on your chest.', 'Slowly lean your upper body forward by extending your knees, without fully straightening them.', 'Raise your torso by bending your knees, keeping your back straight throughout the exercise.']",Machine,hanging_leg_curl.jpg
73,High Cable Curls,Medium,Biceps,['Dumbbell'],"['Attach the two handles to the upper cable pulleys.', 'Stand in the center of the cable machine, with your feet about shoulder-width apart.', 'Lean to one side, grasp the first handle in an underhand grip (palms facing inward) with your arm extended but slightly bent at the elbow, and pull it towards the center of your body. The weight will lift off the block. Repeat on the other side. You’re now in the starting position with both handles in your hands.', 'Pull the handles towards your head by bending your elbows. Keep your shoulders still throughout the movement. Hold the bent position for a moment, then slowly and controlled, lower the weight back to the starting position.']",Cable pull,high_cable_curls.jpg
74,Hip Adduction,Easy,Inner,['Machine'],"['First, adjust the handles on the machine so you can sit down comfortably. Position your legs outside the machine with the pads resting on the inside of your thighs.', 'If you’re new to the machine, start with a lighter weight.', 'Pick a footrest that allows a 90-degree angle between your lower leg and upper leg. Most machines offer different footrests to accommodate various heights.', 'Open the handles as far as your legs can comfortably go. This is your starting position for the exercise.', 'Keep your butt firmly on the seat during the entire exercise, and hold onto the handles for added stability.', 'Press your legs together in a controlled motion until the machine stops you. Your knees and inner thighs should transfer the force to the machine.', 'Slowly spread your legs apart again, letting the weight push your thighs apart.']",Machine,hip_adduction.jpg
75,Hyperextension on the Bench,Medium,Lower,['Bench'],"['Lie face down on the multi-bench, with your legs pointing towards the leg cushions.', 'Slide your body forward so your hips are at the edge of the flat bench. Use your hands on the floor to support and stabilize your upper body while hooking your feet into the cushions.', 'Engage your core, raise your hands, and place them behind your head or neck. Your upper body should be in line with your legs. Keep your back straight with a slight arch. You’re now in the starting position.', 'Slowly and with control, lower your upper body. Maintain a straight back and avoid rounding it.', 'Pause briefly in the lowered position before raising your upper body back to the starting position with the same control.']",Free weights,hyperextension_on_the_bench.jpg
76,Hyperextension Side Bends,Easy,Abs,"['Machine', 'Dumbbell']","['Adjust the upper support so you can bend your torso over it at the hip.', 'Stand sideways in the machine and secure your feet in the pads or on the plate.', 'Press your body against the upper support. Keep your body straight and tense.', 'Place both hands loosely on the back of your neck. You’re now in the starting position.', 'Bend your torso down. Stop the downward movement when you feel a good stretch in your oblique abdominal muscles. Hold the end position for a brief moment.', 'Now straighten your torso and move it past the starting position, bending slightly in the opposite direction. Once you’ve completed one side, turn around and perform the same number of repetitions on the other side of your body.']",Body weight,hyperextension_side_bends.jpg
77,Incline Barbell Press,Easy,Chest,"['Barbell', 'Incline bench']","['Lie down on the incline bench with your back.', 'Plant your feet firmly on the ground and press your chest and back into the padding.', 'Pull your shoulder blades together and create a slight arch in your back.', 'Extend your arms straight up and grab the bar with a shoulder-width grip. Your palms should be facing away from you. For safety, wrap your thumbs around the bar instead of placing them next to your fingers.', 'Lift the bar vertically up from the holder. Then position the bar directly above your chest, keeping your arms extended. You’re now in the starting position.', 'Slowly and controlled, lower the barbell down. It should come down below your chin, about level with the upper chest (not at neck level). Don’t flare your elbows too much; instead, try to keep them at an angle of about 45 degrees beside your body.', 'Pause just above your chest for a brief moment.', 'Push the barbell back up to the starting position.']",Free weights,incline_barbell_press.jpg
78,Incline Bench Preacher Curls,Medium,Biceps,"['Dumbbell', 'Incline bench']","['Grab a dumbbell.', 'Stand behind the incline bench.', 'Place your arm with the dumbbell on the bench from behind. Your arm should be slightly bent at the elbow, holding the dumbbell with an underhand grip (palm up). Ensure you have a stable stance.', 'Press your armpit towards the cushion, eliminating any gap between your upper body and the bench. Lay your upper arm flat on the bench, and you’re now in the starting position.', 'Lift the dumbbell towards your face by bending your elbow. Pause for a moment, then lower the weight back to the starting position. Keep your elbow slightly bent and don’t fully extend it.']",Free weights,incline_bench_preacher_curls.jpg
79,Incline Cable Fly,Easy,Chest,"['Cable pull station', 'Incline bench']","['Place the incline bench in the middle of the smith machine or cable pull tower. Set the incline bench to about a 30-degree angle.', 'Sit on the incline bench and lean back. Your shoulders should be around the level of the handles on the floor. If not, adjust the bench.', 'Stand up, grab both handles, and sit back on the incline bench.', 'Start with the handles close to your chest. As you lean back (butt, shoulder, and head touching the bench), pull your shoulder blades back and push the handles straight up. You’re now in the starting position.', 'Slightly bend your elbows and slowly lower the handles outwards in a controlled way, spreading your arms. In the final position, your chest is stretched. Don’t lower your arms too far. Keep your elbows bent and shoulders pulled back.', 'Raise the handles again by rotating your arms upward.', 'At the end of the set, bring the handles back close to your chest and straighten up.']",Cable pull,incline_cable_fly.jpg
80,Incline Chest Press,Easy,Upper,['Machine'],"['Sit on the seat cushion and lean back. Your head and back should touch the backrest. Plant your feet firmly on the ground to stabilize your body in this position.', 'Hold the handles with an upper grip (palms facing up).', 'Push the weight slightly forward to feel tension in your chest. You’re now in the starting position.', 'Next, push the handles forward or upward. Keep your back and head pressed against the backrest. Don’t fully extend your arms; keep your elbows a bit bent. Hold this position briefly, then slowly and controlled, return the weight to the starting position.']",Machine,incline_chest_press.jpg
81,Incline Dumbbell Biceps Curls,Medium,Biceps,"['Dumbbell', 'Incline bench']","['Grab dumbbells in both hands.', 'Sit on the incline bench seat with an upright body.', 'Lean your upper body back. Your back and head should touch the backrest.', 'Let your arms with the dumbbells in your hands hang down to the sides. Turn your palms forward (underhand grip). You’re now in the starting position.', 'Bend your arm at the elbow and lift the weight up. Aim to move the dumbbells towards your shoulders. Important: Don’t move your shoulders during this motion. The upper arm shouldn’t change its position.', 'Once at the top, hold the weight briefly, then lower it in a controlled manner back to the starting position.']",Free weights,incline_dumbbell_biceps_curls.jpg
82,Incline Dumbbell Fly,Medium,Upper,"['Dumbbell', 'Incline bench']","['Set the incline bench to about a 30-degree angle. If it’s too steep, flatten it a notch.', 'Grab the dumbbells and sit on the bench seat. Place the dumbbells on your thighs near your knees. If the dumbbells are too heavy to lift, alternate lifting your knees upward with momentum to help raise the dumbbells when lying down.', 'Lean back and lie on the bench’s backrest. Hold the dumbbells close to your chest. Once you’re safely lying on the bench, push the dumbbells straight up.', 'Pull back your shoulder blades.', 'Angle your elbows and lower the dumbbells outward in a controlled manner, spreading your arms. In this final position, the chest is stretched. Don’t lower your arms too far, and avoid straightening your elbows or causing pain.', 'Raise the dumbbells again by rotating your arms upward. Keep your elbows and shoulder blades in the same position (elbows bent; shoulder blades pulled in).', 'At the end of your set, lower the dumbbells back down towards your chest and then raise your torso with a bit of momentum.']",Free weights,incline_dumbbell_fly.jpg
83,Incline Dumbbell Press,Medium,Upper,"['Dumbbell', 'Incline bench']","['Set the bench backrest to a positive angle between 30 and 45 degrees. Pick up the dumbbells, sit at the end of the bench, and place the dumbbells on your knees.', 'Lie down on the bench. At the same time, give the dumbbells a slight push up with your knees so that you can move them over your chest without much effort while lying down.', 'Now push the dumbbells up vertically over your chest, side by side, with your arms extended. The backs of your hands both point backward (toward your head).', 'Pull your shoulder blades back and form a slight hollow back.', 'Slowly lower the dumbbells by bending your elbows and pulling shoulders back. The elbows should not be spread too far outwards but should be directed as far as possible inwards, toward your body. Keep your shoulder blades contracted the entire time.', 'When you feel a stretch in your chest, you have reached the end of the downward movement. Hold this position for a short moment.', 'Push the dumbbells back up to the starting position through your chest by straightening your shoulders and elbows and moving your arms in front of your chest. Press the dumbbells vertically upward again.']",Free weights,incline_dumbbell_press.jpg
84,Incline Dumbell Row,Easy,Back,"['Dumbbell', 'Incline bench']","['Grab the dumbbell and walk towards the incline bench, facing it.', 'Lie face down on the incline bench. Rest your chin at the end of the bench. Stabilize your body by positioning your feet shoulder-width apart behind you.', 'Let your arms hang down with the dumbbell in your chosen grip variant. This is your starting position.', 'Pull the dumbbells up towards your upper body. Your elbows should pass close to your body. Then lower the dumbbells back down to the starting position in a controlled manner.']",Free weights,incline_dumbell_row.jpg
